timestamp, utilization.gpu [%], pstate, temperature.gpu, clocks.current.sm [MHz], power.draw [W]
2023/07/13 18:15:33.994, 100, P0, 34, 745, 103.08
2023/07/13 18:15:34.000, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.009, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.015, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.025, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.030, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.040, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.046, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.055, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.061, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.071, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.076, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.086, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.092, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.102, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.107, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.117, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.123, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.133, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.138, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.148, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.153, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.163, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.169, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.179, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.184, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.194, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.199, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.209, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.215, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.225, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.230, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.240, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.245, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.255, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.261, 100, P0, 35, 745, 103.18
2023/07/13 18:15:34.271, 100, P0, 35, 745, 103.18
2023/07/13 18:15:34.276, 100, P0, 35, 745, 103.18
2023/07/13 18:15:34.286, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.292, 100, P0, 34, 745, 103.27
2023/07/13 18:15:34.302, 100, P0, 34, 745, 103.27
2023/07/13 18:15:34.307, 100, P0, 34, 745, 103.27
2023/07/13 18:15:34.317, 100, P0, 35, 745, 103.27
2023/07/13 18:15:34.322, 100, P0, 35, 745, 103.37
2023/07/13 18:15:34.332, 100, P0, 35, 745, 103.37
2023/07/13 18:15:34.338, 100, P0, 35, 745, 103.37
2023/07/13 18:15:34.348, 100, P0, 35, 745, 103.37
2023/07/13 18:15:34.353, 100, P0, 35, 745, 103.37
2023/07/13 18:15:34.363, 100, P0, 35, 745, 103.37
2023/07/13 18:15:34.369, 100, P0, 35, 745, 103.37
2023/07/13 18:15:34.379, 100, P0, 34, 745, 103.37
2023/07/13 18:15:34.384, 100, P0, 34, 745, 103.37
2023/07/13 18:15:34.394, 100, P0, 34, 745, 103.37
2023/07/13 18:15:34.400, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.409, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.415, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.425, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.431, 100, P0, 34, 745, 103.18
2023/07/13 18:15:34.440, 100, P0, 35, 745, 103.18
2023/07/13 18:15:34.446, 100, P0, 35, 745, 103.18
2023/07/13 18:15:34.456, 100, P0, 35, 745, 103.18
2023/07/13 18:15:34.461, 100, P0, 35, 745, 103.18
2023/07/13 18:15:34.471, 100, P0, 35, 745, 103.18
2023/07/13 18:15:34.477, 100, P0, 35, 745, 103.18
2023/07/13 18:15:34.487, 100, P0, 35, 745, 103.18
2023/07/13 18:15:34.492, 100, P0, 35, 745, 103.18
2023/07/13 18:15:34.502, 100, P0, 35, 745, 103.18
2023/07/13 18:15:34.507, 100, P0, 35, 745, 103.18
